"","Sample Size","Basic Model","Comorbidities","PainLocations","Medications","PhysicalFunctioning","DepressiveSymptoms","LifeSatisfaction","LOCchance","LOCpowerful","LOCinternal"
"1",30,0.128280463548735,0.344822456948875,0.379032197096489,0.370298064474049,0.408031777047365,0.411904159492684,0.410339442138836,0.478923342285606,0.480185466852378,0.481150980558447
"2",60,0.148702699268556,0.377048448360993,0.416235568129003,0.409915346764238,0.454725375477042,0.462424082136223,0.467400469280397,0.539204742627528,0.545393002582633,0.553766244073244
"3",90,0.163097679899859,0.394489078440992,0.435858544438835,0.432051581202517,0.479204500200064,0.488993272615879,0.496890595445163,0.570312368131185,0.578880325620753,0.590405114105899
"4",120,0.172600270564762,0.406092492596498,0.449184044621378,0.44705864806133,0.495383509911237,0.50644091522765,0.515846736232123,0.589651909823458,0.599788484371929,0.612662882522512
"5",150,0.180101949126282,0.414948621917046,0.459183763626766,0.458303829455734,0.507360566052934,0.51928991058124,0.52973671236727,0.603463989735867,0.614493713651497,0.628427399766972
"6",180,0.186014632740301,0.421465878334285,0.466673790570819,0.466633616759492,0.516161571484035,0.528791457672096,0.540164605708096,0.613899014488354,0.625535563476406,0.640033520361265
"7",210,0.190912179768873,0.426466354010941,0.472386507661103,0.473106004481934,0.52302208255513,0.5362971363463,0.548204925656086,0.621769185090049,0.633850821305676,0.648870311358897
"8",240,0.195000154307701,0.430552646296076,0.476964686013739,0.478275454412619,0.528551206626699,0.542283250733248,0.554715955584516,0.628134760774381,0.640591773759822,0.656028581393715
"9",270,0.198500990516038,0.433894416169717,0.480749762836861,0.482601992367044,0.533170783931927,0.547296156217039,0.560069922989215,0.633375100780896,0.646145887667361,0.661878773699487
"10",300,0.201415049090568,0.436727303881192,0.483933540909409,0.486205121169743,0.536943504588413,0.551391343209891,0.564522569514256,0.637725021778543,0.650735889946393,0.666702999833
"11",330,0.203879501868936,0.439135506655478,0.486647793659614,0.4892924673037,0.540223302884242,0.554950005641328,0.568382911229205,0.641451717939025,0.654662019054129,0.670791209828549
"12",360,0.206243162821981,0.441386849920988,0.489191713441916,0.492166600780218,0.543212523753852,0.55818687372277,0.571856948241884,0.644777729286906,0.658166600054848,0.674447720936357
"13",390,0.208360786048486,0.443320647086463,0.491334423766577,0.494589106808526,0.545740907786405,0.560929858951087,0.574793992135926,0.647614751863613,0.661177538651443,0.677593625492116
"14",420,0.210241622997694,0.445038005412863,0.493243495086467,0.496753927573965,0.548002730318578,0.5633974521579,0.577431096682734,0.650123985851489,0.663820008251126,0.680357976185581
"15",450,0.211881655436702,0.446537847094292,0.494926355963623,0.498657317703432,0.549991436470095,0.565547893536157,0.579722128150853,0.652309923276221,0.666123574634888,0.682786935658367
"16",480,0.213350268954645,0.447895415538587,0.496426912420637,0.50036597247864,0.551784747309901,0.567469282588804,0.581791761780642,0.654295315517609,0.668220534093782,0.684976296061441
