"","Sample Size","Basic Model","Comorbidities","PainLocations","Medications","PhysicalFunctioning","DepressiveSymptoms","LifeSatisfaction","LOCchance","LOCpowerful","LOCinternal"
"1",30,1.1313495631346,0.981315170280685,0.967277363612445,1.01225358956971,0.998092100719354,1.0291168599772,1.07180301656948,0.987660178268814,1.02947740985896,1.06825093451381
"2",60,1.08093425518227,0.925037766389394,0.898276240183341,0.925714868161542,0.893022815507229,0.905374185823977,0.922683002367369,0.832320920084128,0.846640917319973,0.857828382609567
"3",90,1.05243603597329,0.894387251641073,0.862678505747029,0.881416364082756,0.841317280766544,0.844822529938186,0.851856492300326,0.759265495097706,0.763057445010943,0.762928521814533
"4",120,1.03412147984965,0.874832362109722,0.839586472729463,0.85334506301299,0.809211208465979,0.807874099407525,0.809247276756084,0.715808882002296,0.713871702740129,0.708061849093011
"5",150,1.02205481730629,0.861371933430112,0.823610143282027,0.834052595364753,0.787347251304158,0.782789161450977,0.780527778575516,0.686903003685435,0.681481211200543,0.671763603940317
"6",180,1.01272921731153,0.851225831181811,0.811575227433621,0.81965904280285,0.771263520895452,0.764402595953136,0.759419402243944,0.665527521957968,0.657738981474764,0.645574027112249
"7",210,1.00533516035158,0.843407170990601,0.802379902113337,0.808555974042981,0.758913081518046,0.750218079698418,0.743367682060543,0.649524279165617,0.640003052326139,0.625978030240429
"8",240,0.999662951863201,0.837305753848664,0.795277534661034,0.800004525145354,0.74932737164487,0.739249024177152,0.730861707067905,0.636987645990953,0.626091470363707,0.61059849919556
"9",270,0.995073070790423,0.832438768310872,0.789532195103466,0.793066605577771,0.741515632131886,0.730309467904193,0.720769119876416,0.626872929567473,0.61487698166566,0.598254265130337
"10",300,0.990890026831707,0.828032745212849,0.784447116285562,0.787011683965389,0.734841753662674,0.722742140565013,0.712213557513915,0.618353363857706,0.605437102216154,0.587963623464102
"11",330,0.987557639173807,0.824470045090537,0.78028880036771,0.782031513620562,0.729295629764102,0.716419123863206,0.705081047083461,0.611242503734834,0.597589789740616,0.579418206451077
"12",360,0.984788994179298,0.821418648473669,0.776670207816392,0.777716454026569,0.724486586120119,0.710940056556417,0.698902413643837,0.605111180059106,0.590827163366754,0.572042059878378
"13",390,0.982207075753279,0.818641907657398,0.773463807014324,0.773909102497634,0.720291844989627,0.706167422465146,0.693555665750125,0.599799233285456,0.58494059497261,0.565630274298209
"14",420,0.97994356939762,0.816209485129911,0.770642347488131,0.770554343243424,0.716578407461217,0.701952530402843,0.688834014322285,0.595143778089599,0.579818089683265,0.560042141860243
"15",450,0.977915313561623,0.814047128548907,0.768135299922721,0.767573514453825,0.713301490130547,0.698255505361245,0.68469634342408,0.5910666163885,0.575325925387217,0.555138375257549
"16",480,0.976151916287234,0.812137320855495,0.765938174491961,0.764948611409649,0.710399545503453,0.694997069461424,0.681015166864545,0.587421972014097,0.571308067252207,0.550767004572777
