"","Sample Size","Basic Model","Comorbidities","PainLocations","Medications","PhysicalFunctioning","DepressiveSymptoms","LifeSatisfaction","LOCchance","LOCpowerful","LOCinternal"
"1",30,1.12826040810675,0.982078490723754,0.970055592290951,1.01987554913325,0.997401745502479,1.02902569576962,1.06654090312444,0.98538006785873,1.03314926982059,1.07054667736909
"2",60,1.07981625345021,0.925923338516544,0.900222820662784,0.929066543842971,0.893259968877156,0.905516749645367,0.919950281891527,0.829737040739035,0.849354075849313,0.858711475711679
"3",90,1.05274698933512,0.895210631435767,0.863663485435578,0.883019614898508,0.841592269453491,0.845093114779808,0.849447668953157,0.75762998109671,0.765663888764221,0.763869623859125
"4",120,1.0352308612953,0.875589347200128,0.840232263412853,0.854234736406169,0.809462780038221,0.808226296152298,0.807047285522884,0.714320415304663,0.715941240990318,0.708460725609875
"5",150,1.0230335111301,0.861963693351225,0.824165642582402,0.834688736405823,0.787886992008107,0.783473221512216,0.77860496389468,0.685365439587357,0.683059757068658,0.671988089997482
"6",180,1.01294541708811,0.851267771546306,0.811909499310169,0.819886462408299,0.771626590477681,0.764830433788301,0.757656315422257,0.664393753559001,0.659313779187213,0.645838739704591
"7",210,1.00602217185531,0.843748002718109,0.803026533190393,0.809121508261481,0.759575677246444,0.751068008334392,0.741935588269208,0.648664917987005,0.641568804789171,0.626322705774025
"8",240,1.00026367466497,0.837442059147271,0.795698347468994,0.80024228771649,0.749864001638731,0.739967631568259,0.729410769579415,0.63611467647724,0.62742285969689,0.610849248208327
"9",270,0.995588001110915,0.832463218255494,0.789822907552035,0.793193342562138,0.742070189819021,0.731013412432626,0.719263523674039,0.625988021154069,0.61602938589105,0.598367733863309
"10",300,0.991416447345896,0.828113437521449,0.784755945045866,0.787169235124642,0.735393921926666,0.723466770713881,0.710749294208204,0.617536276289678,0.606593526835062,0.588066063082365
"11",330,0.988124259451798,0.824528383994373,0.780562332445445,0.782088504041815,0.729846393171267,0.717186537692815,0.703663049984407,0.610516263158161,0.598726487263225,0.579486047437163
"12",360,0.985275408797621,0.821391987724047,0.776906073240916,0.777689211184659,0.725020060563306,0.711737383476668,0.697567100124271,0.604456341409861,0.591973860289666,0.572107445286447
"13",390,0.982718578660097,0.818610613555327,0.773679065439401,0.773825932831747,0.720762473311119,0.706925769308079,0.692208481070797,0.599130992602518,0.586073333879833,0.565667108924553
"14",420,0.980475214703498,0.816164144243754,0.770811290767411,0.770423305296936,0.717045660623639,0.702718145826344,0.687516219200345,0.594554721236407,0.580977292810428,0.560112285844051
"15",450,0.978591704405641,0.814094320370845,0.768398335574877,0.767527604417934,0.71385545967889,0.699078277981919,0.683443722564937,0.590529500081833,0.576518680379852,0.555241015663834
"16",480,0.976782623035049,0.812152629088035,0.766160243446847,0.764847215562161,0.710956700734768,0.695798834462519,0.67976853135739,0.586920667145354,0.572503328805322,0.550864317781459
