"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"  "V13"
"1" 1 -0.24 0 -0.03 0.45 0.33 0.26 0.39 -0.21 -0.05 0.1 0.16 0.34
"2" 0 1 -0.21 -0.05 -0.27 -0.21 -0.09 0 0.27 0.09 0.34 0 -0.05
"3" 0 0 1 0.46 -0.19 0 -0.19 -0.14 0.12 -0.24 -0.29 -0.02 -0.13
"4" 0 0 0 1 -0.3 -0.04 -0.18 -0.16 0.16 -0.05 -0.02 0.07 -0.1
"5" 0 0 0 0 1 0.2 0.64 0.34 -0.14 0.2 0 0.03 0.14
"6" 0 0 0 0 0 1 0.33 0.34 -0.07 0.02 -0.1 -0.07 0.11
"7" 0 0 0 0 0 0 1 0.46 -0.25 0.15 -0.05 -0.07 0.18
"8" 0 0 0 0 0 0 0 1 -0.17 0.13 0.13 -0.03 0.26
"9" 0 0 0 0 0 0 0 0 1 -0.03 0.08 0.03 -0.57
"10" 0 0 0 0 0 0 0 0 0 1 0.68 0.19 0.1
"11" 0 0 0 0 0 0 0 0 0 0 1 0.2 0.09
"12" 0 0 0 0 0 0 0 0 0 0 0 1 0.05
"13" 0 0 0 0 0 0 0 0 0 0 0 0 1
